codemp;tipcont;tipmov;codart;fecmov;fecintro;orden;almace;seriel;ubicac;cant;prec;moves;clprfab;numdoc;posicion;impmov;pmedpon;tabauxidhis;tipo;datvar1;datvar2;datvar3;datvar4;datvar5;datvar6;feccad;premedpon;cantdobuni;numsec;tipfac;movmanual
001;0;1;MIS00083;40561;40563;201101205710541;1;;S/U;6;10.29;E;00269;212603/ALV;1;61.74;0;0;P;;;;0;0;0;2958465;10.29;0;0;0;N
001;0;1;MIS00180;40561;40563;201101205751460;1;;S/U;150;0.17;E;00064;A11-438;1;25.5;0;0;P;;;;0;0;0;2958465;0.17;0;0;0;N
001;0;1;MIS00398;40561;40563;201101205751736;1;;S/U;150;0.27;E;00064;A11-438;2;40.5;0;0;P;;;;0;0;0;2958465;0.27;0;0;0;N
001;0;1;CON00566;40560;40563;201101205765221;1;;S/U;10;2.34;E;00012;1049229459;1;23.4;0;0;P;;;;0;0;0;2958465;2.34;0;0;0;N
001;0;4;MC011B;40564;40564;201101213552736;1;;S/U;1;0;S;00042;AL11-0046;1;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MM012B;40564;40564;201101213558386;1;;S/U;1;0;S;00042;AL11-0046;2;0;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MM012A;40564;40569;201101213562453;1;;S/U;1;187;S;00042;AL11-0046;3;187;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MC011A;40564;40569;201101213612450;1;;S/U;1;61;S;00042;AL11-0047;1;61;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN218A;40567;40569;201101214345480;1;;S/U;6;1125;S;00076;AL11-0048;1;6750;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;PN210A;40567;40569;201101214903496;1;;S/U;11;829.6;S;00042;AL11-0050;1;9125.6;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MM012B;40567;40569;201101214944717;1;;S/U;8;513;S;00042;AL11-0051;1;4104;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;4;MC011B;40567;40569;201101214945560;1;;S/U;14;353;S;00042;AL11-0051;2;4942;0;0;C;;;;0;0;0;2958465;0;0;0;0;N
001;0;1;DIN00048;40562;40567;201101243470583;1;;S/U;100;0.49;E;00134;525141;1;49;0;0;P;;;;0;0;0;2958465;0.49;0;0;0;N
001;0;1;ICS00026;40562;40567;201101243470839;1;;S/U;50;0.0665;E;00134;525141;2;3.33;0;0;P;;;;0;0;0;2958465;0.0665;0;0;0;N
001;0;1;ICS00086;40562;40567;201101243471181;1;;S/U;57;0.0817;E;00134;525141;3;4.66;0;0;P;;;;0;0;0;2958465;0.0817;0;0;0;N
